Epoch:264;steps:2640/50000;train_cost:2.266297900676727;val_cost:2.5471606
Epoch:265;steps:2650/50000;train_cost:2.535313844680786;val_cost:3.3235695
Epoch:266;steps:2660/50000;train_cost:2.6472732782363892;val_cost:2.6375554
Epoch:267;steps:2670/50000;train_cost:2.6933398246765137;val_cost:2.0552506
Epoch:268;steps:2680/50000;train_cost:2.477569508552551;val_cost:2.588502
Epoch:269;steps:2690/50000;train_cost:2.5040507555007934;val_cost:1.9742866
Epoch:270;steps:2700/50000;train_cost:2.4604506969451903;val_cost:2.4955177
len(original_list) 32 len(detected_list) 17  test and detect length desn't match
Epoch:271;steps:2710/50000;train_cost:2.286984848976135;val_cost:2.157376
Epoch:272;steps:2720/50000;train_cost:2.4498417377471924;val_cost:2.4292965
Epoch:273;steps:2730/50000;train_cost:2.377579367160797;val_cost:2.6078215
Epoch:274;steps:2740/50000;train_cost:2.5306973695755004;val_cost:2.504785
Epoch:275;steps:2750/50000;train_cost:2.444964039325714;val_cost:2.6274364
